#      date    value 
 2049-11-16 3.20185e-05 
 2049-12-16 3.26573e-05 
 2050-01-16 3.34733e-05 
 2050-02-15 3.27061e-05 
 2050-03-16 3.24182e-05 
 2050-04-16 3.19562e-05 
 2050-05-16 3.2752e-05 
 2050-06-16 3.32466e-05 
 2050-07-16 3.33601e-05 
 2050-08-16 3.27428e-05 
 2050-09-16 3.2431e-05 
 2050-10-16 3.176e-05 
 2050-11-16 3.2462e-05 
 2050-12-16 3.26595e-05 
 2051-01-16 3.26018e-05 
 2051-02-15 3.21945e-05 
 2051-03-16 3.23481e-05 
 2051-04-16 3.28355e-05 
 2051-05-16 3.26984e-05 
 2051-06-16 3.31347e-05 
 2051-07-16 3.41323e-05 
 2051-08-16 3.32369e-05 
 2051-09-16 3.24141e-05 
 2051-10-16 3.16358e-05 
 2051-11-16 3.24299e-05 
 2051-12-16 3.2929e-05 
 2052-01-16 3.32035e-05 
 2052-02-15 3.32246e-05 
 2052-03-16 3.19673e-05 
 2052-04-16 3.21481e-05 
 2052-05-16 3.27625e-05 
 2052-06-16 3.3535e-05 
 2052-07-16 3.40889e-05 
 2052-08-16 3.34154e-05 
 2052-09-16 3.23458e-05 
 2052-10-16 3.17632e-05 
 2052-11-16 3.20737e-05 
 2052-12-16 3.29129e-05 
 2053-01-16 3.27574e-05 
 2053-02-15 3.25548e-05 
 2053-03-16 3.23244e-05 
 2053-04-16 3.19503e-05 
 2053-05-16 3.30131e-05 
 2053-06-16 3.34797e-05 
 2053-07-16 3.36447e-05 
 2053-08-16 3.31318e-05 
 2053-09-16 3.2544e-05 
 2053-10-16 3.20521e-05 
 2053-11-16 3.22545e-05 
 2053-12-16 3.26646e-05 
 2054-01-16 3.33648e-05 
 2054-02-15 3.26075e-05 
 2054-03-16 3.21355e-05 
 2054-04-16 3.23301e-05 
 2054-05-16 3.28412e-05 
 2054-06-16 3.31503e-05 
 2054-07-16 3.36434e-05 
 2054-08-16 3.36384e-05 
 2054-09-16 3.27913e-05 
 2054-10-16 3.19965e-05 
 2054-11-16 3.20708e-05 
 2054-12-16 3.28408e-05 
 2055-01-16 3.28703e-05 
 2055-02-15 3.29407e-05 
 2055-03-16 3.26785e-05 
 2055-04-16 3.15788e-05 
 2055-05-16 3.30271e-05 
 2055-06-16 3.3853e-05 
 2055-07-16 3.33326e-05 
 2055-08-16 3.32363e-05 
 2055-09-16 3.27374e-05 
 2055-10-16 3.20188e-05 
 2055-11-16 3.20446e-05 
 2055-12-16 3.28436e-05 
 2056-01-16 3.34828e-05 
 2056-02-15 3.29921e-05 
 2056-03-16 3.30187e-05 
 2056-04-16 3.25722e-05 
 2056-05-16 3.27807e-05 
 2056-06-16 3.32546e-05 
 2056-07-16 3.33972e-05 
 2056-08-16 3.32384e-05 
 2056-09-16 3.26216e-05 
 2056-10-16 3.2329e-05 
 2056-11-16 3.21888e-05 
 2056-12-16 3.31039e-05 
 2057-01-16 3.29123e-05 
 2057-02-15 3.26627e-05 
 2057-03-16 3.27897e-05 
 2057-04-16 3.25167e-05 
 2057-05-16 3.26163e-05 
 2057-06-16 3.38356e-05 
 2057-07-16 3.35825e-05 
 2057-08-16 3.31364e-05 
 2057-09-16 3.33003e-05 
 2057-10-16 3.22252e-05 
 2057-11-16 3.21005e-05 
 2057-12-16 3.31723e-05 
 2058-01-16 3.29135e-05 
 2058-02-15 3.2958e-05 
